Exercise Name,Age Suitability,Goal,Primary Category,Body Region,Equipments,Fitness Level,Sets,Reps,RPE,Rest intervals,Health benefit,Steps to perform,Safety cue,MET value,is_not_suitable_for,Physical limitation,Tags
DB Hip Flexor Lunge Hold,40-59,Weight Loss,Flexibility / Stretching,Lower,Dumbbell,Intermediate,3,12-8,7-5,60-90 sec,Enhances hip extension and anterior hip flexibility,"1. Step your left foot forward into a low lunge and place your right knee on the floor while holding one dumbbell with both hands at chest height.
2. Tuck your pelvis under and shift your hips forward until you feel a stretch in the front of the right hip.
3. Keep your torso upright and engage your core to stabilize the position.
4. Hold for the set time, then switch legs and repeat.",Tuck pelvis chest upright keep front knee aligned over ankle,2.6,"Hypertension, Osteoarthritis",Hip stiffness / limited hip mobility,
DB Weighted Oblique Reach,All Ages,Weight Loss,Flexibility / Stretching,Core,Dumbbell,Intermediate,3,15-10,7-5,45-75 sec,Strengthens oblique muscles and improves lateral trunk control,"1. Stand feet hip-width and hold a dumbbell in your right hand with your arm extended overhead.
2. Keep your hips square and slowly bend your torso to the left, lowering the dumbbell along the right side.
3. Pause when you feel a controlled stretch in the oblique, then use your obliques to pull back upright.
4. Switch the dumbbell to the left hand and repeat on the other side.",Brace core exhale and control the side bend without twisting torso,3,"Chronic Low Back Pain, Osteoporosis",Reduced core stability,
DB Weighted Thoracic Extension,60+,Weight Maintenance,Flexibility / Stretching,Full,Dumbbell,Intermediate,3,12-8,6-3,30-60 sec,Improves thoracic spine mobility and upright posture,"1. Sit with your upper back supported on a bench or foam roller and plant your feet flat.
2. Hold one dumbbell across your chest with both hands.
3. Lean back over the support by hinging through the mid-back and let the weight assist the extension.
4. Extend the thoracic spine to lift your chest, control the return, and repeat.","Extend through thoracic spine with controlled motion, avoid collapsing lower back",4,None,Thoracic stiffness (upper-back rigidity),
DB Seated Bicep Stretch,40-59,Weight Gain,Flexibility / Stretching,Upper,Dumbbell,Intermediate,2,10-8,4-2,30-60 sec,Promotes anterior arm flexibility and shoulder extension range,"1. Sit upright on a bench with feet flat and hold a light dumbbell in one hand with the palm facing up.
2. Extend that arm behind your torso with the elbow straight and let the dumbbell gently pull the hand downward.
3. Hold the stretch for the desired time, then switch sides and repeat.","Keep scapula depressed and spine long, avoid shrugging",4,None,Limited shoulder range of motion,
DB Weighted Calf Stretch,60+,Weight Maintenance,Flexibility / Stretching,Lower,Dumbbell,Intermediate,3,15-10,6-4,30-60 sec,Improves calf flexibility and ankle dorsiflexion for better gait mechanics,"1. Stand with the balls of one foot on a low step or curb and hold a dumbbell at your side.
2. Keep the knee of the standing leg straight and slowly lower the heel below the step to feel a calf stretch.
3. Maintain an upright posture and hold the lowered position for the desired time.
4. Press the heel back up to the step to release the stretch and repeat, then switch legs.","Keep toes forward and heel anchored, avoid bouncing",4,None,Ankle pain,
DB Weighted QL Stretch,60+,Weight Maintenance,Flexibility / Stretching,Core,Dumbbell,Intermediate,2,12-8,6-4,45-75 sec,Enhances lateral trunk mobility and side bending range,"1. Sit tall with legs crossed and hold a light dumbbell in the hand on the side to be stretched.
2. Reach the opposite arm overhead and lengthen the spine.
3. Lean away from the weighted side until you feel a lateral stretch in the lower flank.
4. Breathe and return to center before switching sides.","Hinge from hips and lengthen side body, avoid rotating torso",4,"Chronic Low Back Pain, Osteoporosis",Lower back pain (non-specific),
DB Weighted Child's Pose,All Ages,Weight Maintenance,Flexibility / Stretching,Full,Dumbbell,Intermediate,3,12-10,5-3,30-60 sec,Promotes spinal elongation and gentle shoulder and hip mobility,"1. Kneel with knees wide and toes together and hold a light dumbbell with both hands extended forward.
2. Sit hips back toward your heels and fold your torso over your thighs while reaching the dumbbell along the floor.
3. Press the dumbbell into the mat to deepen the stretch and relax the chest.
4. Breathe and slowly lift the dumbbell as you return to a kneeling position.","Breathe deep and maintain neutral cervical spine, press hips back evenly",4,"Osteoporosis, Chronic Low Back Pain",Knee pain (general / chronic),
DB Forearm Flexor Stretch,All Ages,Weight Gain,Flexibility / Stretching,Upper,Dumbbell,Intermediate,3,12-10,4-2,30-60 sec,Improves forearm flexibility and grip comfort,"1. Sit with forearm supported on your thigh or a bench and hold a light dumbbell with palm facing up.
2. Allow the weight to pull your wrist back until you feel a gentle stretch along the inner forearm.
3. Keep the elbow soft, hold the position, then slowly lift the dumbbell to release the stretch.",Keep elbow straight while slowly lowering the wrist into a controlled stretch,4,None,Wrist pain / limited wrist mobility,
DB Weighted Pigeon Pose,40-59,Weight Gain,Flexibility / Stretching,Lower,Dumbbell,Intermediate,2,10-8,6-4,60-90 sec,Enhances hip external rotation and glute flexibility,"1. From all fours, slide one knee forward and place that shin under your torso while extending the opposite leg straight back.
2. Place a light dumbbell on top of the front thigh near the hip, square your hips, and lengthen your spine.
3. Hold the pose for the chosen time, remove the dumbbell, and press back into tabletop to switch sides.",Square hips forward while lengthening the spine and breathing evenly,4,None,Hip stiffness / limited hip mobility,
DB Anchor Leg Raise Hold,40-59,Weight Gain,Flexibility / Stretching,Core,Dumbbell,Intermediate,3,12-8,6-4,60-90 sec,Builds core stability and hip flexor endurance,"1. Lie on your back and secure a light dumbbell between your feet near the arches.
2. Place your hands under your glutes and press your lower back into the floor.
3. Lift both legs to about a 45-degree angle and hold with the dumbbell secured.
4. Lower the legs slowly, remove the dumbbell, and rest.",Lift the weighted anchor leg with a neutral spine and braced core,2.6,"Hypertension, Coronary Artery Disease",Reduced core stability,
DB Weighted Scorpion,40-59,Weight Loss,Flexibility / Stretching,Full,Dumbbell,Intermediate,3,12-8,7-5,60-90 sec,Improves thoracic rotation and spinal mobility,"1. Lie face down with your arms extended to the sides and hold a light dumbbell in the hand on the same side as the leg you will rotate.
2. Engage your glutes, lift that leg, bend the knee, and rotate the foot across your back toward the opposite hand.
3. Return the leg to the start position, set the dumbbell down if needed, and repeat before switching sides.",Maintain a grounded pelvis and control rotation through the thoracic spine,3.3,None,Lower back pain (non-specific),
DB Prone Anterior Shoulder,60+,Weight Loss,Flexibility / Stretching,Upper,Dumbbell,Intermediate,3,15-10,5-3,30-60 sec,Enhances anterior shoulder mobility and scapular awareness,"1. Lie face down on a bench with your chest supported and your arm hanging down holding a dumbbell in a neutral grip.
2. Keep a slight bend in the elbow and raise the dumbbell forward to shoulder height with controlled motion.
3. Lower the dumbbell slowly back to the start position and reset before the next rep.",Keep shoulder blades depressed with core engaged to protect the anterior shoulder,4,None,Limited shoulder range of motion,
DB Weighted Adductor Stretch,40-59,Weight Gain,Flexibility / Stretching,Lower,Dumbbell,Intermediate,3,8-6,6-4,60-90 sec,Increases adductor flexibility and hip abduction range,"1. Sit on the floor with soles together and knees dropped outward, holding a dumbbell across your thighs near the knees.
2. Sit tall and press the dumbbell gently down toward your thighs to apply light resistance.
3. Hinge forward from the hips with a straight back until you feel a stretch in the inner thighs.
4. Hold the stretch briefly, then release pressure and return to an upright seated position.",Keep hips square and hinge from hips to avoid lower back rounding,2,None,Hip stiffness / limited hip mobility,
DB Half-Kneeling Twist,All Ages,Weight Loss,Flexibility / Stretching,Core,Dumbbell,Intermediate,3,12-8,7-5,60-90 sec,Improves trunk rotation and single leg stability,"1. Start in a half-kneeling stance with one knee on the floor and the front foot flat, holding a dumbbell with both hands at chest height.
2. Brace your core and rotate your torso toward the front leg while keeping hips square and the dumbbell close to your chest.
3. Pause briefly at the end range while maintaining an upright posture.
4. Rotate back to center with control and repeat, then switch sides.",Anchor pelvis and rotate thorax while keeping hips facing forward,3,None,Lower back pain (non-specific),
DB Weighted Down Dog Anchor,All Ages,Weight Maintenance,Flexibility / Stretching,Full,Dumbbell,Intermediate,3,8-6,6-4,30-60 sec,Enhances posterior chain activation and shoulder stability,"1. Set a dumbbell handle across the base of both palms and place hands shoulder-width on the floor.
2. Tuck toes and lift hips to form a Down Dog, pressing palms down onto the dumbbell.
3. Hold the position while maintaining a long spine and steady breaths.
4. Lower hips back to the floor and remove the dumbbell.",Press through palms and drive hips back while lengthening the spine,2.3,None,Wrist pain / limited wrist mobility,
DB Incline Pec Stretch,60+,Weight Maintenance,Flexibility / Stretching,Upper,Dumbbell,Intermediate,3,12-8,5-3,45-75 sec,Improves pectoral flexibility and upper chest mobility,"1. Adjust an incline bench to 30-45 degrees and lie back with a light dumbbell in one hand.
2. Extend the arm out to the side with a slight elbow bend and lower the dumbbell until the chest opens.
3. Hold the stretch, then raise the arm back and switch sides.",Keep shoulder blade down and back and avoid shrugging the working shoulder,2,None,Limited shoulder range of motion,
DB Weighted Ankle Mobilization,All Ages,Weight Gain,Flexibility / Stretching,Lower,Dumbbell,Intermediate,3,15-10,5-3,30-60 sec,Improves ankle dorsiflexion and joint mobility,"1. Sit upright with one knee bent at 90 degrees and place a light dumbbell across the top of the foot near the toes.
2. Point the toes down to plantarflex and then pull the toes up to dorsiflex in a controlled motion.
3. Perform repeated smooth repetitions for the desired count.
4. Remove the dumbbell and repeat on the opposite ankle.",Stabilize shin over foot and move only at the ankle joint,2.2,None,Ankle instability / recurrent sprains,
DB Side Lying Open Book,60+,Weight Maintenance,Flexibility / Stretching,Core,Dumbbell,Intermediate,2,12-8,6-4,30-60 sec,Enhances thoracic mobility and shoulder range of motion,"1. Lie on your right side with knees bent and hold a light dumbbell in your top hand across your chest.
2. Place your lower arm on the floor and lift the top arm so the dumbbell points to the ceiling.
3. Rotate your torso and open the top arm across your body so the dumbbell moves toward the floor behind you.
4. Reverse the rotation and return the dumbbell to point toward the ceiling with controlled motion.",Keep hips stacked and rotate through the thoracic spine not the lower back,4,"Osteoporosis, Chronic Low Back Pain",Thoracic stiffness (upper-back rigidity),
