,Exercise Name,Age Suitability,Goal,Primary Category,Body Region,Equipments,Fitness Level,Physical limitations,Sets,Reps,RPE,Rest intervals,Health benefit,Steps to perform,Safety cue,MET value
68,Dragon Flags (Neck Tension),40–59,Weight gain,Strength,Core,Bodyweight,Advanced,Poor posture (rounded shoulders / forward head),3,4–6,8–9,90–120 sec,Builds intense core strength and eccentric control through the torso,"1. Lie on a bench and hold the edge behind your head with both hands.
2. Brace your core and lift your hips and legs into a straight, elevated line.
3. Lower your body slowly in one controlled motion while keeping the spine aligned.
4. Stop just before your shoulders touch and press back up using your core.","Keep the neck long, shoulders pressed into the bench and initiate movement from the core",5.5
69,Hanging Toes-to-Bar (Hunched),40–59,Weight gain,Strength,Core,Bodyweight,Advanced,Poor posture (rounded shoulders / forward head),3,6–10,7–8,90–120 sec,Improves abdominal strength and hip flexor coordination,"1. Hang from a pull-up bar with a shoulder-width grip and active shoulders.
2. Engage your core and keep your chest open while initiating the lift.
3. Raise your legs toward the bar with control until your toes touch or reach the bar.
4. Lower your legs back down with a controlled motion before repeating.","Engage lats, keep chest open and avoid rounding the upper back during toes‑to‑bar",5
70,Full Burpees (Neck Snapping),All Ages,Weight loss,Cardio,Full,Bodyweight,Advanced,Poor posture (rounded shoulders / forward head),3,10–15,8–9,60–90 sec,Boosts full body conditioning and anaerobic capacity,"1. Stand tall then lower into a squat and place your hands on the floor.
2. Kick or step your feet back into a plank with a stable core.
3. Perform a push-up, then jump your feet forward under your hips.
4. Explode upward into a jump while keeping your neck neutral and eyes forward.",Tuck your chin and control each transition to prevent the head from snapping,8
71,Tuck Jumps (Hunched Mid-Air),All Ages,Weight loss,Cardio,Full,Bodyweight,Advanced,Poor posture (rounded shoulders / forward head),3,8–10,7–8,60–90 sec,Develops explosive lower body power and coordination,"1. Stand with feet hip-width apart and knees slightly bent.
2. Swing arms back, dip into a quarter squat, and explode upward.
3. Pull knees toward your chest while keeping your torso tall.
4. Land softly on the balls of your feet and absorb through hips and knees.",Keep chest up and extend your spine in the air,8
72,Box Jumps (Landing Hunched),40–59,Weight loss,Cardio,Full,Bodyweight,Advanced,Poor posture (rounded shoulders / forward head),3,6–8,7–8,60–90 sec,Enhances plyometric strength and vertical jump ability,"1. Stand facing the box with feet shoulder-width apart.
2. Dip into a squat and swing your arms to explode up onto the box.
3. Land softly with knees bent and hips back.
4. Step down under control and reset your stance.",Land softly with chest up and hips back,7
73,Pistol Squats (Shoulders Rounded),All Ages,Weight gain,Strength,Lower,Bodyweight,Advanced,Poor posture (rounded shoulders / forward head),3,6–8,7–9,90–120 sec,Improves single leg strength and balance control,"1. Stand on one leg with the opposite leg extended forward.
2. Reach arms forward and hinge at the hips to begin lowering.
3. Lower slowly into a single-leg squat keeping the torso upright.
4. Press through the heel to return to standing.",Retract shoulders and keep chest lifted,6
74,Muscle-Ups (Shoulder Internal Rot.),40–59,Weight gain,Strength,Upper,Bodyweight,Advanced,Poor posture (rounded shoulders / forward head),4,3–5,8–9,120–180 sec,Builds pulling and pressing strength while improving upper body coordination,"1. Grip the bar or rings with a false grip and hang tall.
2. Explode into a high pull and drive your chest toward the bar.
3. Transition by leaning chest over and pressing through into a dip.
4. Lock out at the top and lower with control back to the hang.",Externally rotate and engage shoulders as you transition,7.5
75,Pull-ups (Head Jutting Over Bar),All Ages,Weight gain,Strength,Upper,Bodyweight,Advanced,Poor posture (rounded shoulders / forward head),4,6–10,7–8,90–120 sec,Strengthens back and arm musculature improving pulling capacity,"1. Grip the bar slightly wider than shoulder-width and hang with arms straight.
2. Retract shoulder blades and pull your chest toward the bar until your chin clears.
3. Lower slowly to full arm extension.",Keep neck neutral and chin slightly tucked,6
76,Chin-ups (Shoulders Shrugged),All Ages,Weight gain,Strength,Upper,Bodyweight,Advanced,Poor posture (rounded shoulders / forward head),3,8–12,7–8,90–120 sec,Enhances biceps and upper back strength with improved grip stability,"1. Grip the bar underhand at shoulder-width and hang with a tall torso.
2. Pull elbows toward your ribs and drive your chin above the bar.
3. Lower with control to a full hang.",Pull shoulders down and away from the ears,5.5
77,Wall Climbs (Head Hanging),40–59,Weight gain,Strength,Full,Bodyweight,Advanced,Poor posture (rounded shoulders / forward head),3,6–8,6–8,60–90 sec,Develops core strength and shoulder endurance through controlled vertical movement,"1. Start in a high plank with feet touching the wall.
2. Walk your feet up the wall while walking your hands closer to the wall.
3. Reach the top position briefly, then walk hands back and lower feet to plank.",Keep neck neutral and stack ears over shoulders,6
78,Handstand Hold (Banana Back),All Ages,Weight gain,Balance & Stability,Full,Bodyweight,Advanced,Poor posture (rounded shoulders / forward head),4,3–6,6–8,60–90 sec,Improves shoulder stability and proprioception under inverted load,"1. Place hands shoulder-width on the floor and kick into a handstand.
2. Squeeze glutes and engage the core to align the spine.
3. Press through the shoulders and hold a stable handstand position.",Engage core and tuck ribs to reduce lower back arch,4
79,Handstand Walk (Forward Neck),40–59,Weight gain,Strength,Full,Bodyweight,Advanced,Poor posture (rounded shoulders / forward head),3,3–6,7–9,90–120 sec,Enhances dynamic balance and coordination during inverted locomotion,"1. Kick or press into a handstand and find a balanced position.
2. Keep eyes between your hands and shoulders stacked over wrists.
3. Shift weight onto one hand and step the other hand forward, alternating steps.",Maintain a neutral neck and lead movement with your eyes,7
80,Depth Jumps (Impact Hunch),40–59,Weight loss,Cardio,Lower,Bodyweight,Advanced,Poor posture (rounded shoulders / forward head),3,5–8,7–9,120–180 sec,Increases reactive power and improves landing mechanics,"1. Stand on a sturdy box and step off with a controlled stance.
2. Land softly on the balls of your feet with knees bent and hips back.
3. Absorb the impact and immediately explode upward into a jump.",Land softly with chest up and absorb impact through hips and knees,7.5
81,Broad Jumps (Chest Down),All Ages,Weight loss,Cardio,Full,Bodyweight,Advanced,Poor posture (rounded shoulders / forward head),3,6–8,7–9,60–90 sec,Develops explosive lower body power and horizontal propulsion,"1. Stand with feet hip-width and hinge at the hips with your chest down.
2. Swing arms back and bend knees into a quarter squat.
3. Explode forward into a broad jump and extend hips.
4. Land softly on both feet and bend knees to absorb.",Drive the chest up and keep a neutral spine,5.5
82,180-Degree Jump Squats (Slumped),All Ages,Weight loss,Cardio,Full,Bodyweight,Advanced,Poor posture (rounded shoulders / forward head),3,6–8,7–9,90–120 sec,Enhances rotational lower body power and landing control,"1. Stand feet shoulder-width and allow the upper body to slump slightly.
2. Lower into a squat by pushing hips back and bending knees.
3. Explode upward while rotating 180 degrees using your arms.
4. Land softly into a squat facing the opposite direction.",Stay tall through the torso and brace the core during rotation,6
83,Single-Leg Burpees (Forward Head),40–59,Weight loss,Cardio,Full,Bodyweight,Advanced,Poor posture (rounded shoulders / forward head),3,6–8,8–9,90–120 sec,Builds unilateral leg strength and full body coordination,"1. Stand on one leg with the other slightly lifted and push the head forward.
2. Drop hands to the floor and kick the free leg back into a single-leg plank.
3. Hop the free leg forward, drive through the standing leg, and jump up.
4. Land on the same leg with knees soft and repeat.",Tuck the chin slightly and maintain a long spine when coming up,6
84,Power Skaters (Shoulders Forward),40–59,Weight loss,Cardio,Full,Bodyweight,Advanced,Poor posture (rounded shoulders / forward head),3,8–10,7–8,60–90 sec,Improves lateral explosiveness and dynamic balance,"1. Stand with knees soft and shoulders shifted forward.
2. Push off one foot laterally and swing the other leg behind you.
3. Drive your arms across your body to generate momentum.
4. Land on the opposite foot with a soft bend and repeat to the other side.",Pull the shoulders back and open the chest on each landing,5.5
85,Jumping Split Lunges (Hunched),40–59,Weight loss,Cardio,Lower,Bodyweight,Advanced,Poor posture (rounded shoulders / forward head),3,8–10,7–9,90–120 sec,Increases single leg power and hip stability,"1. Start in a split lunge with your torso slightly hunched forward.
2. Bend both knees to load the movement and keep weight centered.
3. Explode upward and switch leg positions in mid-air.
4. Land softly into the opposite split lunge and continue alternating.",Maintain an upright torso and avoid rounding the shoulders,5.8
86,L-Sits (Shoulders Shrugged),40–59,Weight gain,Strength,Core,Bodyweight,Advanced,Poor posture (rounded shoulders / forward head),3,10–20,6–8,60–90 sec,Strengthens core and hip flexors while promoting shoulder stability,"1. Sit between supports or on the floor and place hands beside your hips.
2. Press down through the hands and shrug the shoulders upward.
3. Lift both legs straight to form an L shape and hold the position.
4. Maintain a tight core and breathe while holding.",Keep shoulders down away from the ears and press through the hands,3.5
