Exercise Name,Age Suitability,Goal,Primary Category,Body Region,Equipments,Fitness Level,Physical Limitations,Sets,Reps,RPE,Rest intervals,Health benefit,Steps to perform,Safety cue,MET value,is_not_suitable_for
Knee-to-Chest,40-59,Weight Gain,Mobility,Lower,Bodyweight,Beginner,Wrist pain / limited wrist mobility,3,10,6–7,30–45 sec,Improves lumbar mobility and stretches gluteal muscles,"1. Lie on your back with legs extended.
2. Bend one knee and draw it toward your chest.
3. Wrap your hands around the shin and pull gently until you feel a stretch.
4. Hold, then lower the leg with control.",Maintain controlled movement and proper alignment throughout,4,None
Seated Forward Fold,60+,Weight Loss,Flexibility / Stretching,Lower,Bodyweight,Beginner,Wrist pain / limited wrist mobility,3,1 rep,6–7,30–45 sec,Increases hamstring flexibility and promotes spinal flexion,"1. Sit tall with legs extended and feet flexed.
2. Hinge at the hips and reach toward your toes.
3. Keep a long spine and avoid rounding excessively.
4. Hold, then slowly roll up to sit.",Hinge from the hips with a long spine and lead the movement from your chest,4,None
Clock Reach (Leg Only),All Ages,Weight Maintenance,Balance & Stability,Lower,Bodyweight,Beginner,Wrist pain / limited wrist mobility,3,8,6–8,45–60 sec,Enhances hip mobility and lower limb coordination,"1. Lie on your back with one leg straight and the other knee bent.
2. Lift the straight leg to hip height and point the toes.
3. Reach the raised leg slowly toward selected clock positions with control.
4. Lower the leg and switch sides.",Maintain controlled movement and proper alignment throughout,2.8,None
Hollow Body Hold (Arms Side),40-59,Weight Gain,Strength,Core,Bodyweight,Beginner,Wrist pain / limited wrist mobility,3,1 rep,7–8,60–90 sec,Builds core stability and improves abdominal endurance,"1. Lie on your back with arms by your sides and legs extended.
2. Lift your head, shoulders, and legs a few inches off the floor while pressing your lower back into the ground.
3. Keep the arms long on the floor and maintain a hollow core position.
4. Hold, then lower with control.",Maintain controlled movement and proper alignment throughout,4.5,"Hypertension, Coronary Artery Disease"
Chin Tucks (Supine),All Ages,Weight Maintenance,Mobility,Upper,Bodyweight,Beginner,Poor posture (rounded shoulders / forward head),3,10–15,6–7,30–45 sec,Strengthens deep neck flexors and promotes better head and neck alignment,"1. Lie on your back with knees bent and feet flat.
2. Gently tuck your chin toward your chest by sliding the head back into the surface.
3. Hold briefly then relax and repeat with controlled movement.",Gently tuck your chin and lengthen the back of the neck without lifting the head,4,Sleep Apnea
Prone Y-Raises,40-59,Weight Gain,Strength,Upper,Bodyweight,Beginner,Poor posture (rounded shoulders / forward head),3,12,6–8,45–60 sec,Strengthens scapular stabilizers and enhances shoulder mobility,"1. Lie face down with arms overhead in a Y and thumbs pointing up.
2. Lift your arms and chest a few inches off the ground using your upper back.
3. Squeeze your shoulder blades together and keep your neck neutral.
4. Lower slowly with control and repeat.",Keep a neutral neck and lift through the shoulder blades rather than extending the neck,2.8,None
Seal Jacks (Step-Out),60+,Weight Loss,Cardio,Full,Bodyweight,Beginner,Poor posture (rounded shoulders / forward head),3,20,7–8,30–45 sec,Improves cardiovascular endurance and whole body coordination,"1. Stand tall with feet together and hands at chest.
2. Step one foot out to the side while opening both arms out wide.
3. Step back to center and bring the arms back to the chest.
4. Repeat on the other side in a controlled rhythm.",Move with control and land softly while keeping your chest lifted and hips stable,4.5,"Obesity / Overweight, Osteoarthritis, Osteoporosis, Hypothyroidism"
Doorway Pectoral Stretch,All Ages,Weight Maintenance,Flexibility / Stretching,Upper,Bodyweight,Beginner,Poor posture (rounded shoulders / forward head),3,1 rep,6–7,30–45 sec,Opens the chest and improves anterior shoulder flexibility,"1. Stand in a doorway and place one forearm against the frame with elbow at shoulder height.
2. Step forward with the same-side foot until you feel a stretch in the front chest.
3. Hold briefly then switch sides.",Maintain controlled movement and proper alignment throughout,4,None
Single Leg Stance (Chest Open),40-59,Weight Gain,Balance & Stability,Lower,Bodyweight,Beginner,Poor posture (rounded shoulders / forward head),3,1 rep,6–8,30–45 sec,Enhances single leg balance and encourages upright chest posture,"1. Stand tall and shift weight onto one foot.
2. Lift the other foot slightly off the ground and draw the shoulder blades together to open the chest.
3. Extend the arms out to the sides or clasp behind your back to increase chest opening.
4. Hold with steady breathing then switch legs.",Maintain controlled movement and proper alignment throughout,2,Sarcopenia
Scapular Wall Slides,60+,Weight Gain,Strength,Upper,Bodyweight,Beginner,Poor posture (rounded shoulders / forward head),3,12–15,6–8,45–60 sec,Improves scapular mobility and promotes better shoulder mechanics,"1. Stand with your back and hips against a wall and arms raised in a goalpost position.
2. Press your entire arms, wrists, and lower back into the wall.
3. Slowly slide your arms up overhead while keeping contact with the wall.
4. Return to the starting position with control and repeat.",Maintain controlled movement and proper alignment throughout,2.6,None
Marching with Chest Expansion,All Ages,Weight Loss,Cardio,Full,Bodyweight,Beginner,Poor posture (rounded shoulders / forward head),3,12–15,6–7,30–45 sec,Improves coordination and encourages upright posture,"1. Stand tall with feet hip-width apart.
2. Lift one knee while reaching both arms forward.
3. Open arms wide and squeeze shoulder blades as you step down.
4. Alternate legs in a controlled marching rhythm.",Keep tall posture and squeeze shoulder blades as you lift each knee,3,None
Cat-Cow Stretch,40-59,Weight Maintenance,Mobility,Core,Bodyweight,Beginner,Poor posture (rounded shoulders / forward head),3,8–12,6–7,15–30 sec,Increases spinal mobility and encourages gentle movement awareness,"1. Start on hands and knees with a neutral spine.
2. Arch your back and lift your chest and tailbone.
3. Round your back and tuck your chin and tailbone.
4. Move slowly between positions with controlled motion.","Coordinate slow breaths with spinal flexion and extension, moving with control",4,None
Chest Opener (Clasp Hands Behind),60+,Weight Gain,Flexibility / Stretching,Upper,Bodyweight,Beginner,Poor posture (rounded shoulders / forward head),2,8–10,6–7,30–45 sec,Opens the chest and improves shoulder range of motion,"1. Stand tall and clasp hands behind your back.
2. Straighten arms and lift your chest while squeezing shoulder blades.
3. Draw shoulders down and hold the open-chest position.",Keep chest lifted and draw shoulder blades together while clasping hands behind,2,None
Tandem Stance (Shoulders Back),All Ages,Weight Maintenance,Balance & Stability,Full,Bodyweight,Beginner,Poor posture (rounded shoulders / forward head),3,10,6–7,30–60 sec,Enhances balance and reinforces proper shoulder alignment,"1. Stand with one foot directly in front of the other heel-to-toe.
2. Roll shoulders back and down and lift your chest.
3. Maintain balance and switch the front foot as needed.","Stack hips and shoulders, lift the chest and keep shoulders down and back",4,Sarcopenia
Reverse Snow Angels (Prone),40-59,Weight Gain,Strength,Upper,Bodyweight,Beginner,Poor posture (rounded shoulders / forward head),3,10–15,6–8,45–60 sec,Strengthens upper back muscles to support better posture,"1. Lie face down with arms at your sides and forehead on the floor.
2. Lift your chest slightly and engage your glutes.
3. Sweep arms overhead keeping them off the ground and squeeze shoulder blades.
4. Reverse the motion to return arms to your sides with control.",Keep neck neutral and glide shoulder blades together with controlled movements,2.8,None
Step-Ups (Posture Focus),60+,Weight Loss,Cardio,Lower,Bodyweight,Beginner,Poor posture (rounded shoulders / forward head),3,8–12,7–9,60–90 sec,Builds lower body strength while encouraging upright torso alignment,"1. Stand facing a stable step or bench with feet hip-width apart.
2. Step up with one foot and press through the heel while lifting your chest.
3. Bring the trailing foot up fully and stand tall.
4. Step down with control and alternate legs.","Drive through the heel, keep hips level and maintain an upright torso",4.5,None
Thoracic Extension (Chair Back),All Ages,Weight Maintenance,Mobility,Upper,Bodyweight,Beginner,Poor posture (rounded shoulders / forward head),3,8–12,6–7,30–45 sec,Improves thoracic mobility and reduces forward rounding,"1. Sit tall and place hands behind your head with elbows wide.
2. Arch your upper spine over the chair back while keeping hips neutral.
3. Return to upright and repeat with controlled movement.","Anchor midback on the chair, lift the chest and keep the neck long",2,None
Upper Trapezius Stretch,40-59,Weight Gain,Flexibility / Stretching,Upper,Bodyweight,Beginner,Poor posture (rounded shoulders / forward head),3,6–8,6–7,30–45 sec,Improves neck flexibility and decreases trapezius tightness,"1. Sit or stand tall and grasp the side of your head with one hand.
2. Gently pull your head toward the same-side shoulder while keeping the opposite shoulder down.
3. Hold the stretch and then repeat on the other side.",Keep ribs down and gently draw the opposite shoulder down while lengthening the neck,4,None
Airplane Hold (Supported),60+,Weight Loss,Balance & Stability,Full,Bodyweight,Beginner,Poor posture (rounded shoulders / forward head),3,6–8,6–8,45–60 sec,Enhances single leg balance and strengthens posterior chain stabilizers,"1. Stand with one hand on a support and hinge at the hips with the other arm extended forward.
2. Lean forward until your torso is nearly parallel to the floor while lifting the rear leg and keeping hips square.
3. Hold the position in a straight line from head to lifted heel and then return to standing.",Maintain controlled movement and proper alignment throughout,2.5,"Hypertension, Coronary Artery Disease"
Bird-Dog,All Ages,Weight Gain,Strength,Core,Bodyweight,Beginner,Poor posture (rounded shoulders / forward head),3,8–12,6–8,30–45 sec,Improves core stability and coordinates opposite limb movement,"1. Start on hands and knees with a neutral spine.
2. Extend one arm forward and the opposite leg back until both are parallel to the floor.
3. Keep hips level and squeeze glutes and shoulder blade.
4. Lower slowly and switch sides.",Brace the core and extend opposite arm and leg with slow controlled movement,3,None
Butt Kicks (Upright Torso),40-59,Weight Loss,Cardio,Lower,Bodyweight,Beginner,Poor posture (rounded shoulders / forward head),3,20,6–7,30–45 sec,Improves hamstring activation and light cardiovascular warmup,"1. Stand tall with feet hip-width apart and arms relaxed.
2. Jog in place while lifting each heel toward the glutes.
3. Keep your torso upright and land softly on the balls of your feet.
4. Pump your arms naturally as you alternate heels to glutes.",Keep core braced and chest tall,6,None
Open Book Stretch,60+,Weight Maintenance,Mobility,Upper,Bodyweight,Beginner,Poor posture (rounded shoulders / forward head),3,10–12,6–7,15–30 sec,Enhances thoracic spine mobility and rotation,"1. Lie on your side with knees bent and arms extended in front.
2. Reach the top arm toward the ceiling and place the palm by your ear.
3. Rotate the top arm open across your body while keeping hips stacked.
4. Return the arm to the start position and repeat slowly.",Keep hips stacked and rotate through the thoracic spine,4,None
Kneeling Hip Flexor Stretch,All Ages,Weight Maintenance,Flexibility / Stretching,Lower,Bodyweight,Beginner,Poor posture (rounded shoulders / forward head),3,8–10,6–7,15–30 sec,Increases hip flexor length and anterior hip mobility,"1. Kneel with one knee on the ground and the other foot flat in front.
2. Tuck the pelvis slightly and press the hips forward gently.
3. Keep your torso upright and engage your core.
4. Hold the position and switch sides after the desired time.",Tuck the pelvis and maintain a neutral spine,2,None
