Exercise Name,Age Suitability,Goal,Primary Category,Body Region,Equipments,Fitness Level,Physical Limitations,Sets,Reps,RPE,Rest intervals,Health benefit,Steps to perform,Safety cue,MET value,is_not_suitable_for,Tags
Seated Knee Tucks,60+,Weight Loss,Cardio,Core,Bodyweight Only,Intermediate,Ankle Pain,3,12-15,6–8,30–60 sec,Strengthens abdominal muscles and enhances seated lower body stability,"1. Sit on the edge of a chair or mat with hands beside hips and feet together on the floor.
2. Lean back slightly to engage the core and lift both feet a few inches off the floor.
3. Draw knees toward your chest by contracting the abdominal muscles.
4. Extend legs back to the starting position with control.","Sit tall, brace core, pull knees toward chest with slow controlled movement",3.3,None
Shadow Boxing (Sitting),40-59,Weight Loss,Cardio,Upper,Bodyweight Only,Intermediate,Ankle Pain,3,30-45,5–7,30–60 sec,Improves upper body coordination and light cardiovascular conditioning,"1. Sit upright with feet planted and hands up in a light guard near your chin.
2. Rotate the torso and extend one arm forward for a punch, then quickly retract it.
3. Alternate punches rapidly while keeping the core engaged and maintaining the guard.","Keep spine tall, shoulders relaxed, exhale on each punch and control return",4.7,None
Floor Jacks (Prone),All Ages,Weight Loss,Cardio,Full,Bodyweight Only,Intermediate,Ankle Pain,3,12-20,7–9,45–90 sec,Increases shoulder and core endurance while promoting scapular mobility,"1. Lie face down with arms extended overhead and legs together.
2. Lift chest and legs a few inches off the floor to engage the posterior chain.
3. Rapidly open arms out to the sides and spread legs outward like a jack.
4. Quickly bring arms and legs back together and repeat.","Maintain neutral spine, move limbs from hips, avoid excessive lumbar arching",4.7,None
Supine Bicycle Kicks (Fast Tempo),60+,Weight Loss,Cardio,Core,Bodyweight Only,Intermediate,Ankle Pain,3,20-30,7–9,45–60 sec,Enhances abdominal endurance and oblique muscle activation at higher tempo,"1. Lie on your back with hands behind your head and shoulders slightly lifted off the floor.
2. Kick one leg straight out while driving the opposite knee toward the chest and twist the torso to bring the opposite elbow toward the bent knee.
3. Alternate sides rapidly in a controlled cycling motion at a fast tempo.","Press lower back into mat, brace core, keep neck relaxed during fast leg cycling",4,Sleep Apnea
"High Knees (Marching, No Impact)",40-59,Weight Loss,Cardio,Lower,Bodyweight Only,Intermediate,Ankle Pain,3,30-60,5–7,30–60 sec,Boosts hip flexor mobility and raises heart rate with minimal impact,"1. Stand tall with feet hip-width apart and hands at your sides or on your hips.
2. Lift your right knee toward hip height while swinging your left arm forward.
3. Lower the right knee and lift the left knee while switching arm positions.
4. Continue alternating in a controlled marching rhythm.","Lift knees to hip level, maintain upright torso and braced core",3.5,None
Standing Punches (Stationary Feet),All Ages,Weight Loss,Cardio,Upper,Bodyweight Only,Intermediate,Ankle Pain,3,20-40,4–6,30–60 sec,Improves upper body endurance and coordination without lower body movement,"1. Stand with feet hip-width apart and hands by your chin.
2. Extend your right arm forward in a quick punch while keeping feet planted.
3. Retract the right hand and repeat on the left side in a steady rhythm.","Rotate from the core, keep shoulders down and back",3,None
Mountain Climbers (Slider/Towel),40-59,Weight Loss,Cardio,Core,Bodyweight Only,Intermediate,Ankle Pain,3,20-40,7–9,60–90 sec,Challenges core stability while promoting shoulder endurance and hip drive,"1. Start in a high plank with hands under shoulders and a slider or towel under both feet.
2. Draw your right knee toward your chest while keeping your hips level.
3. Slide the right foot back and immediately draw the left knee toward your chest.
4. Alternate knees in a controlled, continuous motion.","Maintain a strong plank, pull knees in without letting hips sag",5.5,None
Total Body Extension (No Jump),60+,Weight Loss,Cardio,Full,Bodyweight Only,Intermediate,Ankle Pain,3,10-15,6–8,45–60 sec,Promotes full body mobility and controlled posterior chain engagement,"1. Stand with feet hip-width apart and knees slightly bent.
2. Hinge slightly at the hips and reach your arms forward to prepare.
3. Press through your feet and straighten your body while lifting your arms overhead.
4. Lower your arms and return to the starting hinge to repeat.",Reach arms overhead while keeping ribs down and core engaged,4,None
Dead Bug (Contralateral),All Ages,Weight Maintenance,Strength,Core,Bodyweight Only,Intermediate,Ankle Pain,3,8-12,3–5,20–45 sec,Enhances core stability and coordinated contralateral limb control,"1. Lie on your back with arms extended toward the ceiling and knees bent at 90 degrees.
2. Slowly lower your right arm overhead and extend your left leg toward the floor while keeping your lower back neutral.
3. Bring the right arm and left leg back to the start position.
4. Repeat the movement on the opposite arm and leg while maintaining core control.","Press low back to floor, move limbs slowly while exhaling on effort",2.5,None
Fire Hydrant Circles,60+,Weight Maintenance,Mobility,Lower,Bodyweight Only,Intermediate,Ankle Pain,3,12–15,5–7,30–45 sec,Improves hip mobility and glute activation,"1. Get on all fours with hands under shoulders and knees under hips.
2. Bend one knee to 90 degrees and lift it out to the side to hip height.
3. Rotate the lifted knee in a controlled circular motion clockwise.
4. Reverse the circle direction or switch legs and repeat.",Keep hips level and core braced as you circle the lifted knee,2.7,None
Door Frame Chest Stretch,40-59,Weight Maintenance,Flexibility / Stretching,Upper,Bodyweight Only,Intermediate,Ankle Pain,2,10–15,1–3,15–30 sec,Increases chest and anterior shoulder flexibility and supports upright posture,"1. Stand in a doorway with feet shoulder-width apart.
2. Place forearms on each side of the door frame at shoulder height.
3. Step one foot forward and lean your chest through the frame until you feel a stretch.",Square shoulders and gently retract shoulder blades while breathing deeply into the chest,4,None
Single-Leg Deadlift (Supported),All Ages,Weight Maintenance,Balance & Stability,Lower,Bodyweight Only,Intermediate,Ankle Pain,3,8–12,6–8,60–90 sec,Enhances single-leg balance and posterior chain strength,"1. Stand beside a chair or wall and place one hand lightly on it for support.
2. Shift weight onto the standing leg and soften the knee slightly.
3. Hinge at the hips and extend the opposite leg straight behind while lowering your torso.
4. Drive the hips forward to return to standing and keep the spine neutral.",Hinge from the hips with a neutral spine and keep the supporting knee soft,3.1,Hypertension
Plank Shoulder Taps,60+,Weight Maintenance,Strength,Core,Bodyweight Only,Intermediate,Ankle Pain,3,12–20,6–8,45–60 sec,Challenges core stability and anti-rotation control while engaging shoulders,"1. Start in a high plank with hands under shoulders and body in a straight line.
2. Brace your core and lift one hand to tap the opposite shoulder while keeping hips steady.
3. Return the hand to the floor and lift the other hand to tap the opposite shoulder.
4. Continue alternating taps while minimizing torso rotation.",Keep hips steady and minimize rotation as you tap each shoulder with control,5,"Hypertension, Coronary Artery Disease"
Wall Slides (Scapular),40-59,Weight Maintenance,Mobility,Upper,Bodyweight Only,Intermediate,Ankle Pain,3,10–15,2–4,30–60 sec,Improves scapular mobility and promotes controlled shoulder movement,"1. Stand with your back and heels against a wall and elbows bent at your sides like a ""W.""
2. Press your lower back and arms into the wall to maintain contact.
3. Slide your arms upward into a ""Y"" while keeping elbows and hands on the wall.
4. Lower back to the ""W"" position with control and repeat.",Maintain contact between low back and wall and glide shoulders without shrugging,2.8,None
Side Lying Adductor Raise,All Ages,Weight Maintenance,Strength,Lower,Bodyweight Only,Intermediate,Ankle Pain,3,12–15,4–6,30–60 sec,Strengthens inner thigh muscles and aids hip adduction control,"1. Lie on your side with the bottom leg straight and the top leg bent in front for support.
2. Rest your head on your lower arm and place your top hand on the floor for stability.
3. Lift the bottom leg upward with a straight knee and pointed toe.
4. Lower the bottom leg with control and repeat.",Keep hips stacked and lift top leg slowly with control,4,None
Prone Snow Angels,60+,Weight Maintenance,Strength,Upper,Bodyweight Only,Intermediate,Ankle Pain,3,10–15,2–4,30–60 sec,Enhances thoracic extension and upper back mobility while activating scapular stabilizers,"1. Lie face down with legs extended and arms resting by your sides.
2. Lift your chest slightly while keeping your neck neutral.
3. Sweep your arms out to the sides and overhead until they are beside your ears.
4. Reverse the motion to return to the start with control.",Keep neck neutral and squeeze shoulder blades together,2.4,None
Bird Dog Crunches,40-59,Weight Maintenance,Strength,Core,Bodyweight Only,Intermediate,Ankle Pain,3,10–12,5–7,30–45 sec,Improves core coordination and lumbar stability through contralateral limb movement,"1. Start on hands and knees with a flat back and eyes toward the floor.
2. Extend your right arm forward and your left leg back to form a straight line.
3. Pull your right elbow and left knee toward each other under your torso, then extend back and switch sides.",Brace core and move opposite arm and leg with controlled tempo,3.2,None
Cross-Body Mountain Climbers,40-59,Weight Loss,Cardio,Core,Bodyweight Only,Intermediate,Ankle Instability,3,20–30,7–9,30–60 sec,Elevates heart rate while engaging obliques and improving dynamic core stability,"1. Start in a high plank with hands under shoulders and body in a straight line.
2. Drive your right knee toward your left elbow, then return it to the plank position.
3. Drive your left knee toward your right elbow and continue alternating rapidly.",Keep hips low and spine neutral as you drive knee to opposite elbow,6,"Hypertension, Coronary Artery Disease"
Sphinx Push-up,40-59,Weight Gain,Strength,Upper,Bodyweight Only,Intermediate,Ankle Instability,3,8–12,6–8,60–90 sec,Builds triceps endurance and encourages thoracic extension with forearm press mechanics,"1. Lie face down and prop yourself on your forearms with elbows under shoulders.
2. Press through one palm then the other to straighten your arms and lift your chest into a high plank.
3. Pause briefly at the top with shoulders over wrists.
4. Lower back down onto your forearms one arm at a time and repeat.",Keep elbows under shoulders and maintain a neutral spine during each push up,4.5,None
Assisted Pistol Squat (Chair),All Ages,Weight Gain,Strength,Lower,Bodyweight Only,Intermediate,Ankle Instability,3,6–10,7–8,90–120 sec,Improves single-leg strength and balance,"1. Stand on one leg a short distance in front of a stable chair with the other leg extended forward.
2. Hold a stable support with one hand and extend your arms for balance.
3. Bend the standing knee and lower your hips back and down toward the chair, keeping the extended leg straight.
4. Lightly touch the chair with your hips and push through the heel to stand back up with control.",Sit back toward the chair controlling the descent,3,"Osteoarthritis, Obesity / Overweight"
